name,ticket,quota,ballotPosition,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199,C200,C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C212,C213,C214,C215,C216,C217,C218,C219,C220,C221,C222,C223,C224,C225,C226,C227,C228,C229,C230,C231,C232,C233,C234,C235,C236,C237,C238,C239,C240,C241,C242,C243,C244,C245,C246,C247,C248,C249,C250,C251,C252,C253,C254,C255,C256,C257,C258,C259,C260,C261,C262,C263,C264,C265,C266,C267,C268,C269,C270,C271,C272,C273,C274,C275,C276,C277,C278,C279,C280,C281,C282,C283,C284,C285,C286,C287,C288,C289,C290,C291,C292,C293,C294,C295,C296,C297,C298,C299,C300,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C325,C326,C327,C328,C329,C330,C331,C332,C333,C334,C335,C336,C337,C338,C339,C340,C341,C342,C343,C344,C345,C346,C347,C348,C349,C350,C351,C352,C353,C354,C355,C356,C357,C358,C359,C360,C361,C362,C363,C364,C365,C366,C367
"COLLYER, David",L,534207,59,9610,9665,9692,9698,9699,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9802,9802,9802,9802,9802,9804,9804,9804,9804,9804,9804,9804,9804,9804,9804,9805,9805,9805,9805,9805,9809,9809,9809,9809,9809,9809,9809,9813,9813,9813,9813,9813,9815,9816,9816,9816,9816,9820,9820,9820,9820,9820,9823,9823,9823,9823,9823,9830,9830,9830,9830,9830,9832,9833,9833,9833,9833,9833,9833,9833,9833,9833,9833,9833,9833,9836,9837,9837,9837,9837,9839,9840,9840,9840,9840,9841,9841,9841,9841,9841,9842,9842,9842,9842,9842,9849,9849,9849,9849,9853,9854,9854,9854,9854,9860,9860,9860,9860,9860,9867,9867,9868,9868,9868,9877,9877,9877,9877,9880,9880,9880,9880,9880,9888,9893,9893,9893,9893,9894,9894,9894,9894,9894,9897,9897,9897,9897,9897,9899,9899,9899,9899,9899,9901,9901,9901,9901,9901,9908,9908,9908,9908,9908,9959,9959,9959,9959,9959,9969,9969,9970,9970,9970,9978,9978,9978,9978,9978,9983,9984,9984,9984,9984,10033,10033,10033,10033,10033,10042,10042,10042,10042,10042,10080,10080,10080,10080,10080,10381,10383,10384,10384,10384,10395,10396,10396,10396,10396,10423,10424,10424,10425,10425,10711,10711,10711,10711,10711,10726,10726,10726,10726,10726,10758,10758,10758,10758,10758,10809,10809,10809,10809,10809,10850,10850,10850,10850,10850,11035,11039,11039,11039,11039,112,38,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUTZ, Geoff",B,534207,38,7623,8449,8468,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8493,8493,8493,8493,8493,8493,8493,8493,8493,8493,8495,8496,8496,8496,8496,8496,8496,8496,8496,8496,8496,8496,8499,8499,8499,8499,8499,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8502,8502,8502,8502,8502,8505,8505,8505,8505,8505,8508,8509,8509,8509,8509,8509,8509,8509,8510,8510,8510,8510,8510,8530,8532,8532,8532,8532,8535,8535,8535,8535,8535,8536,8536,8536,8536,8536,8542,8542,8542,8542,8542,8542,8542,8542,8542,8547,8548,8548,8548,8548,8548,8548,8548,8548,8548,8555,8555,8555,8555,8555,8558,8558,8558,8558,8559,8559,8559,8559,8559,8562,8562,8562,8562,8562,8563,8563,8563,8563,8563,8575,8575,8575,8575,8575,8575,8575,8575,8575,8575,8575,8575,8575,8575,8575,8577,8577,8578,8578,8578,8587,8587,8587,8587,8587,8597,8597,8597,8597,8597,8606,8606,8606,8606,8606,8628,8629,8629,8629,8629,8637,8637,8637,8637,8637,8637,8637,8637,8637,8637,8649,8649,8649,8649,8649,8688,8688,8688,8688,8688,8695,8695,8695,8695,8695,8736,8738,8738,8739,8739,8823,8823,8823,8823,8823,8824,8824,8824,8824,8824,8846,8846,8848,8848,8848,8879,8879,8879,8879,8879,8893,8893,8893,8893,8893,880,46,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRESTANI, Rosalie",W,534207,86,6425,6429,6503,6504,6504,6504,6504,6504,6504,6504,6504,6504,6504,6504,6504,6504,6504,6505,6505,6505,6505,6505,6505,6505,6505,6505,6505,6505,6505,6505,6505,6505,6507,6507,6507,6507,6507,6507,6507,6507,6507,6507,6507,6507,6507,6507,6507,6508,6508,6508,6508,6508,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6625,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6628,6628,6628,6628,6628,6628,6628,6628,6628,6628,6628,6628,6628,6628,6628,6632,6632,6632,6632,6632,6633,6633,6633,6633,6633,6634,6634,6634,6634,6636,6636,6636,6636,6636,6637,6637,6637,6637,6637,6638,6638,6638,6638,6638,6638,6638,6638,6638,6639,6639,6639,6639,6639,6643,6643,6643,6643,6643,6647,6647,6647,6647,6647,6652,6652,6652,6652,6652,6655,6655,6655,6655,6655,6658,6658,6658,6658,6658,6661,6661,6661,6661,6661,6677,6677,6677,6677,6677,6681,6681,6681,6681,6681,6759,6759,6759,6759,6759,6761,6761,6761,6761,6761,6796,6796,6796,6796,6796,6798,6798,6798,6798,6798,6835,6835,6835,6835,6835,6861,6861,6861,6861,6861,6868,6868,6868,6868,6868,6874,6874,6874,6874,6874,6890,6890,6890,6890,6890,6895,6895,6895,6895,6895,7191,7191,7192,7192,7192,80,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WALSH, Jess",X,534207,89,5995,6038,614474,614474,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207
"O'BRYAN, Darryl",C,534207,104,5118,5122,5151,5151,5151,5151,5151,5151,5151,5151,5153,5153,5153,5153,5153,5153,5153,5153,5153,5153,5154,5154,5154,5154,5195,5195,5195,5195,5195,5198,5198,5198,5198,5198,5198,5198,5198,5203,5203,5203,5203,5203,5203,5203,5203,5203,5203,5203,5203,5203,5203,5203,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5205,5205,5205,5205,5205,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5209,5209,5209,5209,5209,5209,5209,5209,5209,5209,5209,5209,5209,5209,5209,5209,5209,5209,5210,5210,5210,5210,5210,5214,5214,5214,5214,5214,5216,5216,5216,5216,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5220,5220,5221,5221,5221,5223,5223,5223,5223,5224,5224,5224,5224,5224,5227,5227,5227,5227,5227,5228,5228,5228,5228,5228,5229,5229,5229,5229,5229,5229,5229,5229,5229,5229,5230,5230,5230,5230,5230,5234,5234,5234,5234,5234,5257,5257,5257,5257,5257,5265,5265,5265,5265,5265,5408,5408,5408,5408,5408,5410,5410,5410,5410,5410,5417,5417,5418,5418,5418,5421,5421,5421,5421,5421,5480,5480,5481,5481,5481,5502,5502,5502,5502,5502,5518,5518,5518,5518,5518,5522,5523,5523,5523,5523,5531,5531,5531,5531,5531,5535,5535,5535,5535,5535,37,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRAWFORD, Louise",X,534207,93,4570,4574,4744,4747,4816,4816,4816,4816,4816,4816,4816,4816,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4819,4819,4819,4819,4819,4820,4820,4820,4820,4820,4822,4822,4822,4822,4822,4822,4822,4822,4822,4822,4822,4822,4822,4822,4822,4822,4822,4822,4825,4825,4825,4825,4827,4827,4827,4827,4827,4828,4828,4828,4828,4828,4831,4831,4831,4831,4831,4832,4832,4832,4832,4832,4836,4836,4836,4836,4836,4836,4836,4836,4836,4836,4838,4838,4838,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4840,4840,4840,4840,4840,4846,4846,4846,4846,4846,4849,4849,4849,4849,4849,4858,4858,4858,4858,4859,4859,4859,4859,4859,4863,4863,4863,4863,4863,4864,4864,4864,4864,4864,4874,4874,4874,4874,4875,4875,4875,4875,4875,4876,4876,4876,4876,4876,4881,4881,4881,4881,4881,4882,4882,4882,4882,4882,4900,4900,4900,4900,4900,4945,4945,4946,4946,4946,4960,4960,4960,4960,4960,5003,5003,5003,5003,5003,5298,5299,5327,5327,5339,5343,5343,5343,5343,5343,5369,5370,5370,5370,5370,5371,5371,5371,5371,5371,5409,5409,5409,5409,5409,5426,5426,5426,5426,5426,5427,5427,5427,5427,5427,7450,7453,7543,7546,7692,7737,7740,7740,7749,7749,7759,7759,7759,7759,7759,7927,7928,7930,7930,7931,7936,7936,7936,7936,7936,7944,7944,7944,7944,7944,547,534,243,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUME, Jane",A,534207,33,4217,796452,796452,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207
"SULTAN, Harris",O,534207,65,3815,3819,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3888,3888,3888,3891,3891,3891,3891,3893,3893,3893,3893,3893,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3898,3898,3898,3898,3898,3898,3898,3898,3898,3898,3899,3899,3899,3899,3899,3900,3900,3900,3900,3900,3901,3901,3901,3901,3901,3903,3903,3903,3903,3904,3904,3904,3904,3904,3905,3905,3905,3905,3905,3906,3906,3906,3906,3906,3909,3909,3909,3909,3912,3912,3912,3912,3912,3916,3917,3917,3917,3917,3925,3925,3925,3925,3925,3926,3926,3926,3926,3926,3926,3926,3926,3926,3926,3927,3927,3927,3927,3927,3928,3928,3928,3928,3928,3941,3941,3941,3941,3941,3952,3952,3952,3952,3952,3960,3960,3960,3960,3960,3962,3962,3962,3962,3962,4031,4031,4031,4031,4031,4039,4039,4039,4039,4039,4064,4064,4064,4064,4064,4181,4181,4181,4181,4181,4186,4186,4186,4186,4186,4191,4191,4191,4191,4191,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISHERWOOD, Craig",K,534207,57,3231,3247,3253,3253,3253,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3261,3261,3261,3261,3261,3265,3265,3265,3265,3265,3269,3269,3269,3269,3269,3272,3272,3272,3272,3272,3274,3274,3274,3274,3274,3281,3281,3281,3281,3281,3281,3281,3281,3282,3282,3282,3282,3282,3284,3285,3285,3285,3285,3292,3293,3293,3293,3293,3293,3293,3293,3293,3293,3295,3295,3295,3295,3295,3295,3295,3295,3295,3300,3301,3301,3301,3301,3303,3303,3303,3303,3303,3309,3309,3309,3309,3309,3309,3309,3309,3309,3310,3310,3310,3310,3310,3319,3321,3322,3322,3322,3323,3323,3323,3323,3323,3326,3326,3326,3326,3326,3327,3327,3328,3328,3328,3328,3328,3328,3328,3328,3330,3330,3330,3330,3330,3339,3339,3339,3339,3339,3346,3346,3346,3346,3346,3355,3355,3355,3355,3355,3359,3359,3359,3359,3359,3378,3378,3378,3378,3378,3379,3379,3379,3379,3379,3389,3389,3389,3389,3389,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARSHALL, Gavin",X,534207,90,2894,2903,3330,3342,83168,83169,83169,83169,83169,83169,83169,83169,83171,83171,83171,83171,83171,83172,83172,83172,83175,83175,83175,83175,83176,83176,83176,83176,83176,83176,83176,83176,83176,83176,83176,83176,83176,83179,83179,83179,83179,83179,83180,83180,83180,83180,83180,83190,83191,83192,83192,83192,83193,83193,83193,83193,83193,83194,83194,83194,83194,83194,83199,83199,83199,83200,83200,83200,83200,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83202,83208,83208,83208,83208,83208,83210,83210,83210,83210,83210,83218,83218,83218,83220,83220,83220,83220,83220,83221,83221,83221,83221,83221,83222,83222,83222,83222,83222,83224,83224,83224,83224,83224,83226,83226,83226,83226,83226,83240,83240,83240,83240,83249,83249,83249,83249,83249,83252,83252,83252,83252,83252,83269,83270,83272,83272,83272,83298,83298,83298,83298,83308,83308,83308,83308,83308,83310,83311,83311,83311,83311,83315,83315,83315,83315,83315,83316,83317,83317,83317,83317,83326,83326,83326,83326,83326,83335,83335,83336,83336,83336,83359,83359,83362,83362,83362,83485,83485,83486,83486,83486,84041,84041,84094,84094,84113,84196,84196,84196,84196,84196,84213,84215,84215,84215,84215,84396,84396,84397,84397,84397,84457,84457,84460,84460,84460,84682,84682,84682,84682,84682,84815,84815,84815,84815,84815,85441,85441,85498,85498,85516,85548,85551,85552,85554,85554,85935,85935,85936,85936,85936,86028,86028,86030,86030,86030,86543,86543,86543,86543,86543,87196,87196,87198,87198,87198,93087,93090,93342,93344,93532,93789,93789,93789,93789,93789,94872,94873,94875,94875,94875,96602,96602,96605,96605,96605,97180,97180,97180,97180,97180,98156,98156,98159,98159,98159,100168,100168,100173,100173,100173,100768,100768,100768,100768,100768,103154,103155,103164,103164,103164,105036,105036,105038,105038,105038,106197,106199,106201,106201,106201,108068,108070,108075,108075,108075,109294,109295,109297,109297,109297,110879,110882,110886,110886,110886,113694,113704,113706,113707,113707,121897,121899,121906,121906,121907,132529,132533,132547,132548,132550,141779,141782,141790,141791,141792,163765,163772,163791,163792,163793,175275,175285,175293,175294,175294,81046,80979,80077,80056,0,0,0,0,0,0,0,0
"CHANDRA, Sunny",Z,534207,96,2697,2698,2711,2711,2711,2711,2711,2711,2711,2711,2711,2711,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2712,2713,2713,2713,2713,2713,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2785,2785,2785,2785,2785,2785,2785,2785,2785,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2797,2797,2797,2797,2802,2802,2802,2802,2802,2802,2802,2802,2802,2802,2806,2806,2806,2806,2806,2807,2807,2807,2807,2807,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2816,2816,2816,2816,2816,3006,3006,3006,3006,3006,3058,3058,3058,3058,3058,3092,3092,3092,3092,3092,3094,3094,3094,3094,3094,3109,3109,3109,3109,3109,3111,3111,3111,3111,3111,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOUGLAS, Karen",X,534207,92,2507,2515,2650,2656,2805,2805,2805,2805,2805,2805,2805,2805,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2808,2808,2808,2808,2808,2811,2811,2811,2811,2811,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2814,2814,2814,2814,2814,2814,2814,2814,2814,2815,2815,2815,2815,2815,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2822,2822,2822,2822,2822,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2824,2825,2825,2825,2825,2827,2827,2827,2827,2827,2829,2829,2829,2829,2829,2829,2829,2829,2829,2830,2830,2830,2830,2830,2832,2832,2832,2832,2832,2835,2835,2835,2835,2835,2838,2838,2838,2838,2840,2840,2840,2840,2840,2841,2841,2841,2841,2841,2843,2843,2843,2843,2843,2850,2851,2851,2851,2851,2869,2869,2869,2869,2869,2876,2876,2876,2876,2876,2898,2898,2898,2898,2898,2917,2917,2917,2917,2917,3499,3500,3537,3537,3562,3566,3566,3566,3566,3566,3577,3578,3578,3578,3578,3581,3581,3581,3581,3581,3629,3629,3630,3630,3630,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,365,353,180,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
